intent,input
wikipedia,Can you provide information on the Eiffel Tower?
wikipedia,Tell me more about the concept of dark matter.
wikipedia,Give me a summary of the life of Marie Curie.
wikipedia,Explore the page on Ancient Egypt and share some insights.
wikipedia,What's the Wikipedia take on the theory of relativity?
wikipedia,I'm curious about black holes can you fetch details from Wikipedia?
wikipedia,Inform me about the key events of the Renaissance period.
wikipedia,Delve into the Wikipedia entry for the history of video games and provide details.
wikipedia,What does Wikipedia say about the Great Barrier Reef?
wikipedia,Provide me with an overview of the French Revolution sourced from Wikipedia.
wikipedia,Give me some interesting facts about artificial neural networks.
wikipedia,Explore the Wikipedia page on climate change and share key points.
wikipedia,Can you extract information on the history of jazz from Wikipedia?
wikipedia,Summarize the Wikipedia article on the human brain for me.
wikipedia,What's the Wikipedia summary for the Golden Gate Bridge?
wikipedia,Share some insights from the Wikipedia page on quantum mechanics.
wikipedia,I'm interested in the history of aviation what does Wikipedia say?
wikipedia,Provide me with an overview of the Battle of Gettysburg sourced from Wikipedia.
wikipedia,What are the Wikipedia-recommended sources for learning about World War II?
wikipedia,I'm curious about the life of Frida Kahlo can you fetch details from Wikipedia?
wikipedia,Inform me about the key concepts in existentialism according to Wikipedia.
wikipedia,Delve into the Wikipedia entry on climate change and share details.
wikipedia,What does Wikipedia say about the Great Wall of China?
wikipedia,Provide me with an overview of the Industrial Revolution sourced from Wikipedia.
wikipedia,Give me some interesting facts about the International Space Station.
wikipedia,Explore the Wikipedia page on the history of cinema and share key points.
wikipedia,Can you extract information on the history of psychology from Wikipedia?
wikipedia,Summarize the Wikipedia article on the theory of evolution for me.
wikipedia,What's the Wikipedia summary for the ancient city of Rome?
wikipedia,Share some insights from the Wikipedia page on the human genome.
wikipedia,I'm interested in the history of photography what does Wikipedia say?
wikipedia,Provide me with an overview of the Russian Revolution sourced from Wikipedia.
wikipedia,What are the Wikipedia-recommended sources for learning about Albert Einstein?
wikipedia,I'm curious about the life of Nelson Mandela can you fetch details from Wikipedia?
wikipedia,Inform me about the key events of the American Civil War according to Wikipedia.
wikipedia,Delve into the Wikipedia entry on the history of space exploration and share details.
wikipedia,What does Wikipedia say about the history of the Internet?
wikipedia,Provide me with an overview of the Renaissance art sourced from Wikipedia.
wikipedia,Give me some interesting facts about the Seven Wonders of the Ancient World.
wikipedia,Explore the Wikipedia page on the history of mathematics and share key points.
wikipedia,Can you extract information on the history of ancient Greece from Wikipedia?
wikipedia,Summarize the Wikipedia article on the development of the periodic table for me.
wikipedia,What's the Wikipedia summary for the history of the Ottoman Empire?
wikipedia,Share some insights from the Wikipedia page on the history of astronomy.
wikipedia,I'm interested in the life of Leonardo da Vinci what does Wikipedia say?
wikipedia,Provide me with an overview of the French Revolution sourced from Wikipedia.
wikipedia,What are the Wikipedia-recommended sources for learning about the history of China?
wikipedia,I'm curious about the life of Wolfgang Amadeus Mozart can you fetch details from Wikipedia?
wikipedia,Inform me about the key concepts in string theory according to Wikipedia.
wikipedia,Delve into the Wikipedia entry on climate change and share details.
wikipedia,What does Wikipedia say about the history of the Great Depression?
wikipedia,Provide me with an overview of the Industrial Revolution sourced from Wikipedia.
wikipedia,Give me some interesting facts about the history of the Roman Empire.
wikipedia,Explore the Wikipedia page on the history of psychology and share key points.
wikipedia,Can you extract information on the history of philosophy from Wikipedia?
wikipedia,Summarize the Wikipedia article on the theory of relativity for me.
wikipedia,What's the Wikipedia summary for the history of the Middle Ages?
wikipedia,Share some insights from the Wikipedia page on the history of chemistry.
wikipedia,I'm interested in the life of Vincent van Gogh what does Wikipedia say?
wikipedia,Provide me with an overview of the Russian Revolution sourced from Wikipedia.
wikipedia,What are the Wikipedia-recommended sources for learning about the history of aviation?
wikipedia,I'm curious about the life of Ada Lovelace can you fetch details from Wikipedia?
wikipedia,Inform me about the key events of the Renaissance period according to Wikipedia.
wikipedia,Delve into the Wikipedia entry on climate change and share details.
wikipedia,What does Wikipedia say about the history of the Cold War?
wikipedia,Provide me with an overview of the Renaissance art sourced from Wikipedia.
wikipedia,Give me some interesting facts about the history of the British Empire.
